;;PLAN F   UENTE;PLAN DESTINO
SPL_ANZOLA;147;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;148;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;149;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;150;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;151;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;152;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;153;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;154;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;155;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;156;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;157;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;158;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;159;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;160;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;161;ABA_N2_1536_BS;ABA_N2_3072_BS
SPL_ANZOLA;162;ABA_N8_1536_BS_JV;ABA_N9_1536_BS_JV
SPL_ANZOLA;163;ABA_N9_1536_BS_JV;ABA_N10_1536_BS_JV
SPL_ANZOLA;164;ABA_N10_1536_BS_JV;ABA_N11_1536_BS_JV
SPL_ANZOLA;165;ABA_N11_1536_BS_JV;ABA_N12_1536_BS_JV
SPL_ANZOLA;166;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;167;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;168;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;169;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;170;ABA_N8_1536_BS_JV;ABA_N9_1536_BS_JV
SPL_ANZOLA;171;ABA_N9_1536_BS_JV;ABA_N10_1536_BS_JV
SPL_ANZOLA;172;ABA_N10_1536_BS_JV;ABA_N11_1536_BS_JV
SPL_ANZOLA;173;ABA_N11_1536_BS_JV;ABA_N12_1536_BS_JV
SPL_ANZOLA;174;ABA_N8_1536_BS_JC;ABA_N9_1536_BS_JC
SPL_ANZOLA;175;ABA_N9_1536_BS_JC;ABA_N10_1536_BS_JC
SPL_ANZOLA;176;ABA_N10_1536_BS_JC;ABA_N11_1536_BS_JC
SPL_ANZOLA;177;ABA_N11_1536_BS_JC;ABA_N12_1536_BS_JC
